TimeStamp,Iterations[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],AVG_RD_BW[Gbit/s],AVG_WR_BW[Gbit/s],AVG_faults[#],version,bytes_power
2021-11-8,2,64,512,1,1.31148,20,0,complex,6
2021-11-8,2,128,512,2,2.58065,32,0,complex,7
2021-11-8,2,256,512,4,5,45.7143,0,complex,8
2021-11-8,2,512,512,8,9.41176,58.1818,0,complex,9
2021-11-8,2,1024,512,16,16.8421,67.3684,0,complex,10
2021-11-8,2,2048,512,32,27.8261,73.1429,0,complex,11
2021-11-8,2,4096,512,64,40.8026,76.4179,0,complex,12
2021-11-8,2,8128,512,127,54.3316,78.1538,0,complex,13
2021-11-8,2,16256,512,254,64.7134,79.0661,0,complex,14
2021-11-8,2,32512,512,508,71.5493,79.5303,0,complex,15
2021-11-8,2,65024,512,1016,70.0086,79.5303,0,complex,16
2021-11-8,2,130048,512,2032,69.084,79.6082,0,complex,17
2021-11-8,2,260096,512,4064,69.5899,79.6472,0,complex,18
2021-11-8,2,520192,512,8128,69.4709,79.6667,0,complex,19
2021-11-8,2,1040384,512,16256,69.4834,79.6765,0,complex,20
2021-11-8,2,64,1,1,1.29032,26.6667,0,simple,6
2021-11-8,2,128,1,2,2.53968,40,0,simple,7
2021-11-8,2,256,1,4,4.92308,53.3333,0,simple,8
2021-11-8,2,512,1,8,9.27536,64,0,simple,9
2021-11-8,2,1024,1,16,16.6234,71.1111,0,simple,10
2021-11-8,2,2048,1,32,27.5269,75.2941,0,simple,11
2021-11-8,2,4096,1,64,40.96,77.5758,0,simple,12
2021-11-8,2,8128,1,127,54.0426,78.7597,0,simple,13
2021-11-8,2,16256,1,254,62.1363,79.375,0,simple,14
2021-11-8,2,32512,1,508,68.5329,79.6863,0,simple,15
2021-11-8,2,65024,1,1016,73.7234,79.8428,0,simple,16
2021-11-8,2,130048,1,2032,75.8917,79.9213,0,simple,17
2021-11-8,2,260096,1,4064,77.1255,79.9606,0,simple,18
2021-11-8,2,520192,1,8128,77.6916,79.9803,0,simple,19
2021-11-8,2,1040384,1,16256,78.0882,79.9902,0,simple,20
