TimeStamp,Iterations[#],Trgt_Address[Byte],Brst_size[#beats],WrittenWords[512b],AVG_RD_BW[Gbit/s],AVG_WR_BW[Gbit/s],AVG_faults[#],PowOfTwoBytes,TestVersion
2021-11-10,2,64,512,1,1.27112,20,0,6,complex
2021-11-10,2,128,512,2,2.58065,32,0,7,complex
2021-11-10,2,256,512,4,4.81884,45.7143,0,8,complex
2021-11-10,2,512,512,8,9.41176,58.1818,0,9,complex
2021-11-10,2,1024,512,16,15.0877,67.3684,0,10,complex
2021-11-10,2,2048,512,32,25.9885,73.1429,0,11,complex
2021-11-10,2,4096,512,64,40.8026,76.4179,0,12,complex
2021-11-10,2,8192,512,128,54.4681,78.1679,0,13,complex
2021-11-10,2,16384,512,256,64.8101,79.0734,0,14,complex
2021-11-10,2,32768,512,512,67.7663,79.534,0,15,complex
2021-11-10,2,65536,512,1024,69.4587,79.534,0,16,complex
2021-11-10,2,131072,512,2048,69.9424,79.6113,0,17,complex
2021-11-10,2,262144,512,4096,68.7647,79.65,0,18,complex
2021-11-10,2,524288,512,8192,69.1196,79.6693,0,19,complex
2021-11-10,2,1048576,512,16384,67.748,79.679,0,20,complex
2021-11-10,2,2097152,512,32768,68.1347,79.6839,0,21,complex
2021-11-10,2,4194304,512,65536,67.9166,79.6863,0,22,complex
2021-11-10,2,8388608,512,131072,67.736,79.6875,0,23,complex
2021-11-10,2,16777216,512,262144,67.7173,79.6881,0,24,complex
2021-11-10,2,33554432,512,524288,67.6713,79.6884,0,25,complex
2021-11-10,2,67108864,512,1048576,67.6683,79.6886,0,26,complex
2021-11-10,2,134217728,512,2097152,67.6731,79.6886,0,27,complex
2021-11-10,2,268435456,512,4194304,67.663,79.6887,0,28,complex
2021-11-10,2,536870912,512,8388608,67.6625,79.6887,0,29,complex
2021-11-10,2,1073741824,512,16777216,67.6616,79.6887,0,30,complex
2021-11-10,2,2147483648,512,33554432,67.6608,79.6887,0,31,complex
2021-11-10,2,4294967296,512,67108864,67.6608,79.6887,0,32,complex
2021-11-10,2,8589934528,512,134217727,67.6607,79.6887,0,33,complex
2021-11-10,2,64,1024,1,1.25031,26.6667,0,6,simple
2021-11-10,2,128,1024,2,2.53968,40,0,7,simple
2021-11-10,2,256,1024,4,4.92308,53.3333,0,8,simple
2021-11-10,2,512,1024,8,9.27536,64,0,9,simple
2021-11-10,2,1024,1024,16,16.6234,71.1111,0,10,simple
2021-11-10,2,2048,1024,32,26.5634,75.2941,0,11,simple
2021-11-10,2,4096,1024,64,40.96,77.5758,0,12,simple
2021-11-10,2,8192,1024,128,54.1799,78.7692,0,13,simple
2021-11-10,2,16384,1024,256,64.6057,79.3798,0,14,simple
2021-11-10,2,32768,1024,512,68.4378,79.6887,0,15,simple
2021-11-10,2,65536,1024,1024,73.8351,79.8441,0,16,simple
2021-11-10,2,131072,1024,2048,75.9046,79.922,0,17,simple
2021-11-10,2,262144,1024,4096,76.8841,79.961,0,18,simple
2021-11-10,2,524288,1024,8192,77.723,79.9805,0,19,simple
2021-11-10,2,1048576,1024,16384,78.033,79.9902,0,20,simple
2021-11-10,2,2097152,1024,32768,78.2041,79.9951,0,21,simple
2021-11-10,2,4194304,1024,65536,78.3116,79.9976,0,22,simple
2021-11-10,2,8388608,1024,131072,78.3288,79.9988,0,23,simple
2021-11-10,2,16777216,1024,262144,78.3481,79.9994,0,24,simple
2021-11-10,2,33554432,1024,524288,78.3644,79.8072,0,25,simple
2021-11-10,2,67108864,1024,1048576,78.3691,78.54,0,26,simple
2021-11-10,2,134217728,1024,2097152,78.3708,77.9209,0,27,simple
2021-11-10,2,268435456,1024,4194304,78.3721,77.6162,0,28,simple
2021-11-10,2,536870912,1024,8388608,78.3731,77.4637,0,29,simple
2021-11-10,2,1073741824,1024,16777216,78.3734,77.3891,0,30,simple
2021-11-10,2,2147483648,1024,33554432,78.3736,77.3507,0,31,simple
2021-11-10,2,4294967296,1024,67108864,78.3737,77.3318,0,32,simple
